Target 	Type	Spike	Human	Handler	Cell line	Organism	Expr type	Ratio
K27Ac	contro	977583	6696718	Saiful	COLO205	HUMAN	CUT&RUN	0.127383979335708
K27Ac	exp	1611431	17752237	Saiful	COLO205	HUMAN	CUT&RUN	0.083219305350619
K27Me3	contro	977583	6696718	Saiful	COLO205	HUMAN	CUT&RUN	0.127383979335708
K27Me3	exp	1117155	15546606	Saiful	COLO205	HUMAN	CUT&RUN	0.067040987925835
K4Me1	contro	977583	6696718	Saiful	COLO205	HUMAN	CUT&RUN	0.127383979335708
K4Me1	exp	1251015	15501383	Saiful	COLO205	HUMAN	CUT&RUN	0.074676771647856
K4Me3	contro	977583	6696718	Saiful	COLO205	HUMAN	CUT&RUN	0.127383979335708
K4Me3	exp	1395502	17209349	Saiful	COLO205	HUMAN	CUT&RUN	0.075007426826477
K27Ac	contro	308368	3409242	Saiful	COLO205	HUMAN	CUT&RUN	0.082947915461816
K27Ac	exp	792405	12995197	Saiful	COLO205	HUMAN	CUT&RUN	0.057472285608476
K27Me3	contro	308368	3409242	Saiful	COLO205	HUMAN	CUT&RUN	0.082947915461816
K27Me3	exp	694683	13275981	Saiful	COLO205	HUMAN	CUT&RUN	0.04972440823142
K4Me1	contro	308368	3409242	Saiful	COLO205	HUMAN	CUT&RUN	0.082947915461816
K4Me1	exp	799207	13780248	Saiful	COLO205	HUMAN	CUT&RUN	0.054817343995369
K4Me3	contro	308368	3409242	Saiful	COLO205	HUMAN	CUT&RUN	0.082947915461816
K4Me3	exp	749422	13264175	Saiful	COLO205	HUMAN	CUT&RUN	0.053478204061384
K27Ac	contro	1114452	6930872	Saiful	COLO205	HUMAN	CUT&RUN	0.138521705278743
K27Ac	exp	859852	12984514	Saiful	COLO205	HUMAN	CUT&RUN	0.062108441802247
K27Me3	contro	1114452	6930872	Saiful	COLO205	HUMAN	CUT&RUN	0.138521705278743
K27Me3	exp	609150	11535840	Saiful	COLO205	HUMAN	CUT&RUN	0.050156484278703
K4Me1	contro	1114452	6930872	Saiful	COLO205	HUMAN	CUT&RUN	0.138521705278743
K4Me1	exp	724387	13289211	Saiful	COLO205	HUMAN	CUT&RUN	0.051691721141137
K4Me3	contro	1114452	6930872	Saiful	COLO205	HUMAN	CUT&RUN	0.138521705278743
K4Me3	exp	860394	13759229	Saiful	COLO205	HUMAN	CUT&RUN	0.058851996388689
K27Ac	contro	572454	5099940	Saiful	COLO205	HUMAN	CUT&RUN	0.100919294393161
K27Ac	exp	1240076	14401690	Saiful	COLO205	HUMAN	CUT&RUN	0.079279794877382
K27Me3	contro	572454	5099940	Saiful	COLO205	HUMAN	CUT&RUN	0.100919294393161
K27Me3	exp	1384655	18880726	Saiful	COLO205	HUMAN	CUT&RUN	0.068326127201852
K4Me1	contro	572454	5099940	Saiful	COLO205	HUMAN	CUT&RUN	0.100919294393161
K4Me1	exp	1726049	16301927	Saiful	COLO205	HUMAN	CUT&RUN	0.095742805515162
K4Me3	contro	572454	5099940	Saiful	COLO205	HUMAN	CUT&RUN	0.100919294393161
K4Me3	exp	1362894	15369162	Saiful	COLO205	HUMAN	CUT&RUN	0.08145406637415
K27Ac	contro	432111	4112745	Saiful	COLO205	HUMAN	CUT&RUN	0.095076939731424
K27Ac	exp	810667	12424425	Saiful	COLO205	HUMAN	CUT&RUN	0.061251330931436
K27Me3	contro	432111	4112745	Saiful	COLO205	HUMAN	CUT&RUN	0.095076939731424
K27Me3	exp	421051	8015207	Saiful	COLO205	HUMAN	CUT&RUN	0.049909687446733
K4Me1	contro	432111	4112745	Saiful	COLO205	HUMAN	CUT&RUN	0.095076939731424
K4Me1	exp	722402	12092662	Saiful	COLO205	HUMAN	CUT&RUN	0.056371314259531
K4Me3	contro	432111	4112745	Saiful	COLO205	HUMAN	CUT&RUN	0.095076939731424
K4Me3	exp	677895	11864018	Saiful	COLO205	HUMAN	CUT&RUN	0.054050366957577
K27Ac	contro	1005016	4905095	Saiful	COLO205	HUMAN	CUT&RUN	0.170050274859474
K27Ac	exp	1293513	15752809	Saiful	COLO205	HUMAN	CUT&RUN	0.075882234302508
K27Me3	contro	1005016	4905095	Saiful	COLO205	HUMAN	CUT&RUN	0.170050274859474
K27Me3	exp	1147017	17301049	Saiful	COLO205	HUMAN	CUT&RUN	0.062175460560473
K4Me1	contro	1005016	4905095	Saiful	COLO205	HUMAN	CUT&RUN	0.170050274859474
K4Me1	exp	1034702	14608528	Saiful	COLO205	HUMAN	CUT&RUN	0.066143756756118
K4Me3	contro	1005016	4905095	Saiful	COLO205	HUMAN	CUT&RUN	0.170050274859474
K4Me3	exp	1087741	15494496	Saiful	COLO205	HUMAN	CUT&RUN	0.065596758748533
R361C	control	212346	4156399	Saiful	COLO205	HUMAN	greenCUT&RUN	0.048605720864917
R361C	expr	492480	10254533	Saiful	COLO205	HUMAN	greenCUT&RUN	0.045824825930703
R361C	control	203374	3460055	Saiful	COLO205	HUMAN	greenCUT&RUN	0.055514655804712
R361C	expr	390595	11135628	Saiful	COLO205	HUMAN	greenCUT&RUN	0.033887510245117
R361C	control	209672	4077917	Saiful	COLO205	HUMAN	greenCUT&RUN	0.048902075268875
R361C	expr	372463	11993152	Saiful	COLO205	HUMAN	greenCUT&RUN	0.030120863378004
R361H	control	319282	6485445	Saiful	COLO205	HUMAN	greenCUT&RUN	0.046920618564125
R361H	expr	549750	19445204	Saiful	COLO205	HUMAN	greenCUT&RUN	0.027494436846416
R361H	control	355341	6055000	Saiful	COLO205	HUMAN	greenCUT&RUN	0.055432464513198
R361H	expr	483914	16064670	Saiful	COLO205	HUMAN	greenCUT&RUN	0.029242018531616
R361H	control	499858	6652620	Saiful	COLO205	HUMAN	greenCUT&RUN	0.069885989163476
R361H	expr	720242	20596678	Saiful	COLO205	HUMAN	greenCUT&RUN	0.033787338883854
S357P	control	194031	4606595	Saiful	COLO205	HUMAN	greenCUT&RUN	0.040417853838229
S357P	expr	379036	14904316	Saiful	COLO205	HUMAN	greenCUT&RUN	0.024800580396238
S357P	control	174052	4620135	Saiful	COLO205	HUMAN	greenCUT&RUN	0.036304799958784
S357P	expr	320301	13204865	Saiful	COLO205	HUMAN	greenCUT&RUN	0.023681853516622
S357P	control	179972	4593661	Saiful	COLO205	HUMAN	greenCUT&RUN	0.03770126442481
S357P	expr	298913	10541277	Saiful	COLO205	HUMAN	greenCUT&RUN	0.027574516682826
SMAD4wt	control	182026	5265639	Saiful	COLO205	HUMAN	greenCUT&RUN	0.033413581782287
SMAD4wt	expr	600443	20192283	Saiful	COLO205	HUMAN	greenCUT&RUN	0.028877550735772
SMAD4wt	control	182007	4895675	Saiful	COLO205	HUMAN	greenCUT&RUN	0.035844505425901
SMAD4wt	expr	464638	17719683	Saiful	COLO205	HUMAN	greenCUT&RUN	0.02555157269826
SMAD4wt	control	462960	9708737	Saiful	COLO205	HUMAN	greenCUT&RUN	0.045514529188197
SMAD4wt	expr	962348	37292458	Saiful	COLO205	HUMAN	greenCUT&RUN	0.025156264026016
ATF3	control	35536	1251627	Andreas	KidneyTissue	MOUSE	greenCUT&RUN	0.027608003026812
ATF3	expr	657901	20293552	Andreas	KidneyTissue	MOUSE	greenCUT&RUN	0.031401211171368
ATF3	control	666703	19380683	Andreas	KidneyTissue	MOUSE	greenCUT&RUN	0.033256355716401
ATF3	expr	576007	18255171	Andreas	KidneyTissue	MOUSE	greenCUT&RUN	0.030587943037871
ATF3	control	1327821	25177958	Andreas	KidneyTissue	MOUSE	greenCUT&RUN	0.050095528224241
H3K27ac	expr	842803	20005430	Andreas	KidneyTissue	MOUSE	CUT&RUN	0.040425632234636
H3K27ac	control	35536	1251627	Andreas	KidneyTissue	MOUSE	CUT&RUN	0.027608003026812
H3K27ac	expr	910445	31844870	Andreas	KidneyTissue	MOUSE	CUT&RUN	0.027795336420975
H3K27ac	control	666703	19380683	Andreas	KidneyTissue	MOUSE	CUT&RUN	0.033256355716401
H3K27ac	expr	736241	26288935	Andreas	KidneyTissue	MOUSE	CUT&RUN	0.027242782803709
H3K27ac	control	1327821	25177958	Andreas	KidneyTissue	MOUSE	CUT&RUN	0.050095528224241
H3K27ac	expr	567253	18274557	Andreas	KidneyTissue	MOUSE	CUT&RUN	0.030106077919266
H3K4me1	control	35536	1251627	Andreas	KidneyTissue	MOUSE	CUT&RUN	0.027608003026812
H3K4me1	expr	488694	20077425	Andreas	KidneyTissue	MOUSE	CUT&RUN	0.02376209142814
H3K4me1	control	666703	19380683	Andreas	KidneyTissue	MOUSE	CUT&RUN	0.033256355716401
H3K4me1	expr	413606	17756523	Andreas	KidneyTissue	MOUSE	CUT&RUN	0.022762964423643
H3K4me1	control	1327821	25177958	Andreas	KidneyTissue	MOUSE	CUT&RUN	0.050095528224241
H3K4me1	expr	472788	19836022	Andreas	KidneyTissue	MOUSE	CUT&RUN	0.023279945993882
H3K4me3	control	35536	1251627	Andreas	KidneyTissue	MOUSE	CUT&RUN	0.027608003026812
H3K4me3	expr	682989	19162059	Andreas	KidneyTissue	MOUSE	CUT&RUN	0.034416092115272
H3K4me3	control	666703	19380683	Andreas	KidneyTissue	MOUSE	CUT&RUN	0.033256355716401
H3K4me3	expr	724524	22521271	Andreas	KidneyTissue	MOUSE	CUT&RUN	0.031167959624526
H3K4me3	control	1327821	25177958	Andreas	KidneyTissue	MOUSE	CUT&RUN	0.050095528224241
H3K4me3	expr	892643	19157539	Andreas	KidneyTissue	MOUSE	CUT&RUN	0.044520443754575
polII	control	2624274	4426580	Tanja	HeLa	HUMAN	CUT&RUN	0.372192361379203
polII	expr	6779264	18439928	Tanja	HeLa	HUMAN	CUT&RUN	0.268813687607438
polII	control	2624274	4426580	Tanja	HeLa	HUMAN	CUT&RUN	0.372192361379203
polII	expr	4304710	21676546	Tanja	HeLa	HUMAN	CUT&RUN	0.165685215526147
polII	control	2624274	4426580	Tanja	HeLa	HUMAN	CUT&RUN	0.372192361379203
polII	expr	7185190	21996467	Tanja	HeLa	HUMAN	CUT&RUN	0.246222824152857
polII	control	1333747	5783397	Tanja	HeLa	HUMAN	CUT&RUN	0.187399187089653
polII	expr	3355506	18920380	Tanja	HeLa	HUMAN	CUT&RUN	0.15063400845201
polII	control	1333747	5783397	Tanja	HeLa	HUMAN	CUT&RUN	0.187399187089653
polII	expr	7528563	20847563	Tanja	HeLa	HUMAN	CUT&RUN	0.265313277788518
polII	control	1333747	5783397	Tanja	HeLa	HUMAN	CUT&RUN	0.187399187089653
polII	expr	4036398	14454071	Tanja	HeLa	HUMAN	CUT&RUN	0.218296139486781
polII	control	2297044	4470816	Tanja	HeLa	HUMAN	CUT&RUN	0.339404774921467
polII	expr	4959710	18513904	Tanja	HeLa	HUMAN	CUT&RUN	0.211288726141616
polII	control	2297044	4470816	Tanja	HeLa	HUMAN	CUT&RUN	0.339404774921467
polII	expr	2100328	27073264	Tanja	HeLa	HUMAN	CUT&RUN	0.071994151422972
polII	control	2297044	4470816	Tanja	HeLa	HUMAN	CUT&RUN	0.339404774921467
polII	expr	3885121	17796392	Tanja	HeLa	HUMAN	CUT&RUN	0.179190492840606
TAF2	control	510663	1947548	Tanja	HeLa	HUMAN	CUT&RUN	0.207737659623197
TAF2	expr	1074481	6719199	Tanja	HeLa	HUMAN	CUT&RUN	0.137865680910687
PolII	control	2523817	3378678	Tanja	HeLa	HUMAN	CUT&RUN	0.427584775590661
PolII	expr	6357575	11276158	Tanja	HeLa	HUMAN	CUT&RUN	0.360534834002534
PolII	control	2438557	4138603	Tanja	HeLa	HUMAN	CUT&RUN	0.370761392455102
PolII	expr	12304790	9806426	Tanja	HeLa	HUMAN	CUT&RUN	0.556495400343427
PolII	control	2438557	4138603	Tanja	HeLa	HUMAN	CUT&RUN	0.370761392455102
PolII	expr	3489733	17350130	Tanja	HeLa	HUMAN	CUT&RUN	0.167454699678208
PolII	control	2438557	4138603	Tanja	HeLa	HUMAN	CUT&RUN	0.370761392455102
PolII	expr	7026102	14878127	Tanja	HeLa	HUMAN	CUT&RUN	0.320764634080478
TAF2	control	2438557	4138603	Tanja	HeLa	HUMAN	CUT&RUN	0.370761392455102
TAF2	expr	7788230	13020801	Tanja	HeLa	HUMAN	CUT&RUN	0.374271632350396
PolII	control	2523817	3378678	Tanja	HeLa	HUMAN	CUT&RUN	0.427584775590661
PolII	expr	2822422	14082699	Tanja	HeLa	HUMAN	CUT&RUN	0.166956628112866
PolII	control	2523817	3378678	Tanja	HeLa	HUMAN	CUT&RUN	0.427584775590661
PolII	expr	2711402	15483734	Tanja	HeLa	HUMAN	CUT&RUN	0.149017957326617
PolII	control	2126621	3019109	Tanja	HeLa	HUMAN	CUT&RUN	0.413278776772198
PolII	expr	9136554	18357223	Tanja	HeLa	HUMAN	CUT&RUN	0.332313526802811
PolII	control	2126621	3019109	Tanja	HeLa	HUMAN	CUT&RUN	0.413278776772198
PolII	expr	4886886	16588282	Tanja	HeLa	HUMAN	CUT&RUN	0.227559849590001
PolII	control	2126621	3019109	Tanja	HeLa	HUMAN	CUT&RUN	0.413278776772198
PolII	expr	6973947	13840941	Tanja	HeLa	HUMAN	CUT&RUN	0.335046097773863
