File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR	EntrezIDs
ENCFF882ARK	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EHE	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										CEBPB-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF665VJA/, /files/ENCFF356LFX/, /files/ENCFF860IZB/, /files/ENCFF396DTD/	837759	ENCODE Processing Pipeline	943574226feb365e3f5746066a0a7f77		https://www.encodeproject.org/files/ENCFF882ARK/@@download/ENCFF882ARK.bed.gz				released	s3://encode-public/2020/12/12/a4ae234f-0645-478b-bd9a-6ced2be51768/ENCFF882ARK.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth, improper control_type of control experiment			1051
ENCFF772UYI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DJW	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens					insertion	/targets/NR4A1-human/				NR4A1-human	DNA						2011-06-03	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF065IUE/, /files/ENCFF159XCD/, /files/ENCFF735BZK/, /files/ENCFF356LFX/, /files/ENCFF126GHY/	18281	ENCODE Processing Pipeline	97cb5a7a1bbcf97f2820fe399d3e0c19		https://www.encodeproject.org/files/ENCFF772UYI/@@download/ENCFF772UYI.bed.gz				released	s3://encode-public/2021/01/06/29a40de9-178d-4278-b6d6-6f9ed1a716f0/ENCFF772UYI.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, missing genetic modification characterization, low read length, missing biosample characterization, missing genetic modification reagents	insufficient replicate concordance		3164
ENCFF276QRH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DYZ	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										TBL1XR1-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF863XTX/, /files/ENCFF683ICJ/, /files/ENCFF941TVG/, /files/ENCFF278NPZ/, /files/ENCFF389FAZ/, /files/ENCFF356LFX/, /files/ENCFF042LWY/	232355	ENCODE Processing Pipeline	f899991da625b25066263850bea82697		https://www.encodeproject.org/files/ENCFF276QRH/@@download/ENCFF276QRH.bed.gz				released	s3://encode-public/2021/01/08/3a69fb6e-a722-4cd7-b0f4-9ae8291966ab/ENCFF276QRH.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth, improper control_type of control experiment			79718
ENCFF837YJA	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DZP	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										SMC3-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF683ICJ/, /files/ENCFF042LWY/, /files/ENCFF356LFX/, /files/ENCFF622ERY/, /files/ENCFF302PYC/, /files/ENCFF863XTX/, /files/ENCFF278NPZ/	590144	ENCODE Processing Pipeline	2a28a7ccbb3b9461072b165af550d2bf		https://www.encodeproject.org/files/ENCFF837YJA/@@download/ENCFF837YJA.bed.gz				released	s3://encode-public/2021/01/08/c0190f8d-da07-46a0-9e9a-0a3c8c416ad0/ENCFF837YJA.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length, borderline replicate concordance, improper control_type of control experiment			9126
ENCFF744HVD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EHG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										USF2-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF526PJI/, /files/ENCFF396DTD/, /files/ENCFF356LFX/, /files/ENCFF332TRZ/	67723	ENCODE Processing Pipeline	9e1e6d57dfac1bad9fa19e5a3c14b955		https://www.encodeproject.org/files/ENCFF744HVD/@@download/ENCFF744HVD.bed.gz				released	s3://encode-public/2020/12/12/06da914d-ea15-40ca-8402-bdc066d57021/ENCFF744HVD.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth, improper control_type of control experiment			7392
ENCFF284FTY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DOK	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										BDP1-human	DNA						2011-10-29	ENCODE		see document		1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF356LFX/, /files/ENCFF146ENO/, /files/ENCFF938MMD/, /files/ENCFF039NAG/, /files/ENCFF264LHV/, /files/ENCFF039CRW/	8441	ENCODE Processing Pipeline	2eb136799de1f5ffdab8a23d4bd4da74		https://www.encodeproject.org/files/ENCFF284FTY/@@download/ENCFF284FTY.bed.gz				released	s3://encode-public/2020/12/11/aa65d676-f73d-44ac-b957-19de70a3e1f7/ENCFF284FTY.bed.gz	ENCODE4 v1.6.1 GRCh38	released		insufficient read length, insufficient read depth		55814
ENCFF436SJS	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DYV	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										MAFK-human	DNA						2012-08-20	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF042LWY/, /files/ENCFF863XTX/, /files/ENCFF215TIO/, /files/ENCFF278NPZ/, /files/ENCFF683ICJ/, /files/ENCFF381MCA/	135155	ENCODE Processing Pipeline	f6021852cedf049968eb0469a65a226a		https://www.encodeproject.org/files/ENCFF436SJS/@@download/ENCFF436SJS.bed.gz				released	s3://encode-public/2021/01/08/a771abce-d90f-41a5-8a1e-ea6e1f330826/ENCFF436SJS.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length, improper control_type of control experiment			7975
ENCFF118GMS	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR109YGM	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										CREB3L1-human	DNA						2014-07-07	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF430DGN/, /files/ENCFF970CZZ/, /files/ENCFF936FZX/, /files/ENCFF781OWM/, /files/ENCFF356LFX/, /files/ENCFF822ODT/, /files/ENCFF037WIZ/	306904	ENCODE Processing Pipeline	c76af8df6b45f22bc018a90cd824845a		https://www.encodeproject.org/files/ENCFF118GMS/@@download/ENCFF118GMS.bed.gz				released	s3://encode-public/2020/12/09/75fc9a71-72c2-47ce-8b37-3b9352a990b3/ENCFF118GMS.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, mild to moderate bottlenecking, moderate library complexity, borderline replicate concordance			90993
ENCFF868BGR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BUG	TF ChIP-seq	/human-donors/ENCDO000ABE/	EFO:0002824	HCT116	cell line	Homo sapiens										ATF3-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF943ATG/, /files/ENCFF356LFX/, /files/ENCFF790YEB/, /files/ENCFF662DXJ/, /files/ENCFF455TDH/	69472	ENCODE Processing Pipeline	d814bc29a8b9b760cef454f6a7e16a67		https://www.encodeproject.org/files/ENCFF868BGR/@@download/ENCFF868BGR.bed.gz				released	s3://encode-public/2020/12/12/7a2c02b3-a606-4766-8f22-49b2ec1eb88b/ENCFF868BGR.bed.gz	ENCODE4 v1.6.1 GRCh38	released				467
ENCFF732ZNB	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR888XZK	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										TCF7L2-human	DNA						2016-07-28	ENCODE			150-350	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF273OMB/, /files/ENCFF005NXS/, /files/ENCFF253OGH/, /files/ENCFF718GEW/	38749	ENCODE Processing Pipeline	2501f521fcd8c649b1be9a29433c67a8		https://www.encodeproject.org/files/ENCFF732ZNB/@@download/ENCFF732ZNB.bed.gz				released	s3://encode-public/2020/12/03/c911c846-ef8f-45f9-8423-6a7378763273/ENCFF732ZNB.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, mild to moderate bottlenecking, moderate library complexity, low read length			6934
